Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,Enterococcus_colonies,"Temperature
(°C)",pH ,Observations,Year,Month
2015-05-04,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,355.0,28.50,8.1,,2015,5
2015-05-05,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,75.0,29.20,7.88/7.88,,2015,5
2015-05-11,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Re-sampling,473.0,27.30,Bacteriological Re-sampling,,2015,5
2015-05-11,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Re-sampling,275.0,26.50,Bacteriological Re-sampling,,2015,5
2015-05-19,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Routine,313.0,28.90,8.27,,2015,5
2015-05-19,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,86.0,26.90,8.15,,2015,5
2015-06-01,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,86.0,29.70,8.03,,2015,6
2015-06-01,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,158.0,27.30,8.22,,2015,6
2015-06-01,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,571.0,27.50,8.15,,2015,6
2015-06-01,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,4611.0,28.20,8.1,,2015,6
2015-06-02,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,120.0,28.20,8.14,,2015,6
2015-06-02,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,201.0,28.00,8.02,,2015,6
2015-06-02,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,96.0,28.90,8.14/8.13,,2015,6
2015-06-02,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,97.0,28.60,8.04,,2015,6
2015-06-08,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Re-sampling,109.0,28.40,Bacteriological Re-sampling,,2015,6
2015-06-15,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,228.0,29.30,7.96,,2015,6
2015-06-16,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,75.0,26.20,7.99,,2015,6
2015-06-22,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,74.0,30.00,Bacteriological Re-sampling,,2015,6
2015-06-22,RW-8,Playa Buyé ,18.0488722,-67.1986250,Route 4: Cabo Rojo,Re-sampling,120.0,28.20,Bacteriological Re-sampling,,2015,6
2015-06-22,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Re-sampling,383.0,27.00,Bacteriological Re-sampling,,2015,6
2015-06-22,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Re-sampling,269.0,29.80,Bacteriological Re-sampling,,2015,6
2015-06-30,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,86.0,27.50,7.91,,2015,6
2015-06-30,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,189.0,27.90,8.09/8.09,,2015,6
2015-06-30,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,75.0,29.60,8.18,,2015,6
2015-07-06,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,74.0,26.50,Bacteriological Re-sampling,,2015,7
2015-07-06,RW-35,Playa Jauca,17.9598889,-66.3704167,Route 3: Lajas - Salinas,Re-sampling,328.0,30.30,Bacteriological Re-sampling,,2015,7
2015-07-13,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,85.0,29.00,8.1,,2015,7
2015-07-13,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,291.0,29.20,8.13,,2015,7
2015-07-14,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,74.0,28.50,7.96,,2015,7
2015-07-14,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,131.0,27.90,8.07,,2015,7
2015-07-27,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,341.0,29.50,8.07,,2015,7
2015-07-27,RW-13,Balneario de Boquerón,18.0194417,-67.1722444,Route 4: Cabo Rojo,Routine,211.0,28.00,8.1,,2015,7
2015-07-27,RW-37,Villa Lamela,18.0645333,-67.1975278,Route 4: Cabo Rojo,Routine,243.0,27.50,7.97,,2015,7
2015-07-28,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,161.0,26.90,7.82,,2015,7
2015-08-03,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,74.0,29.00,Bacteriological Re-sampling,,2015,8
2015-08-11,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,341.0,29.50,8.19/8.20,,2015,8
2015-08-11,RW-2,Balneario Seven Seas,18.3692667,-65.6360722,Route 2: Arroyo - Luquillo,Routine,231.0,30.20,8.24,,2015,8
2015-08-10,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,97.0,30.00,8.03,,2015,8
2015-08-17,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Re-sampling,104.0,28.50,Bacteriological Re-sampling,,2015,8
2015-08-17,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,189.0,28.30,Bacteriological Re-sampling,,2015,8
2015-08-17,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Re-sampling,798.0,28.90,Bacteriological Re-sampling,,2015,8
2015-08-25,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,148.0,28.20,8.06,,2015,8
2015-08-25,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,6294.0,27.20,7.88,,2015,8
2015-08-25,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,934.0,28.30,8,,2015,8
2015-08-25,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,1118.0,28.40,8.05/8.05,,2015,8
2015-08-25,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,1039.0,27.80,7.99,,2015,8
2015-08-25,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,228.0,28.50,8.04,,2015,8
2015-09-01,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,295.0,29.20,Bacteriological Re-sampling,,2015,9
2015-09-01,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Re-sampling,72.0,29.30,Bacteriological Re-sampling,,2015,9
2015-09-01,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Re-sampling,512.0,29.80,Bacteriological Re-sampling,,2015,9
2015-09-01,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Re-sampling,161.0,28.00,Bacteriological Re-sampling,,2015,9
2015-09-08,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,134.0,28.70,8.26,,2015,9
2015-09-08,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,130.0,29.10,8.17,,2015,9
2015-09-08,RW-16,Balneario Crash Boat,18.4576667,-67.1637778,Route 5: Añasco - Aguadilla,Routine,75.0,29.70,8.19/8.19,,2015,9
2015-09-09,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,187.0,28.90,8.04,,2015,9
2015-09-09,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,275.0,30.20,8.07/8.07,,2015,9
2015-09-14,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,85.0,27.30,Bacteriological Re-sampling,,2015,9
2015-09-14,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Re-sampling,131.0,29.30,Bacteriological Re-sampling,,2015,9
